date,symbol,direction,entry_price,exit_price,shares,max_loss,type,mode,shadow
2026-09-02,HK.00100,long,344.2,345.0,160,800,stock,auto_live,
2026-09-02,HK.00100,long,342.0,341.78,380,912,stock,auto_live,
2026-09-03,HK.00100,long,356.0,358.2,16840,84200,stock,auto_paper,
2026-09-03,HK.03750,long,574.0,572.0,27000,67500,stock,auto_paper,
2026-09-04,HK.03690,long,80.6,80.95,1500,525,stock,auto_paper,
2026-09-04,HK.02513,long,1126.0,1126.0,200,400,stock,auto_paper,
2026-09-04,HK.03690,long,81.5,81.5,1500,900,stock,auto_paper,
2026-09-04,HK.07709,long,35.36,35.42,7700,1694,etf,auto_paper,
2026-09-07,HK.01888,long,46.10,46.08,4500,270,stock,auto_paper,
2026-09-07,HK.01888,long,46.72,47.00,3000,1260,stock,auto_paper,
2026-09-07,HK.07709,long,39.60,39.96,6900,1518,etf,auto_paper,
2026-09-07,HK.00100,short,373.2,373.6,840,504,stock,auto_paper,
2026-09-08,HK.07709,long,44.58,44.76,2500,1700,etf,auto_paper,
2026-09-08,HK.07747,long,82.50,82.52,3300,594,etf,auto_paper,
2026-09-09,HK.00100,long,344.8,344.6,900,720,stock,auto_paper,
2026-09-09,HK.00992,long,32.02,31.96,2000,1040,stock,auto_paper,
2026-09-09,HK.02899,long,37.84,37.68,2000,320,stock,auto_paper,
2026-09-10,HK.07709,long,43.58,44.56,6300,1764,etf,auto_paper,
2026-09-10,HK.07709,long,44.74,44.66,6100,732,etf,auto_paper,
2026-09-10,HK.07709,long,44.56,44.62,6100,1342,etf,auto_paper,
2026-09-10,HK.01888,short,49.30,49.26,4000,1360,stock,auto_paper,
2026-09-11,HK.06869,long,180.0,179.3,1000,1000,stock,auto_paper,
2026-09-11,HK.07709,long,41.42,41.14,5300,1696,etf,auto_paper,
2026-09-11,HK.00700,long,427.2,429.6,200,240,stock,auto_paper,
2026-09-03,HK.00100,long,360.0,358.0,77500,155000,stock,shadow,1
2026-09-04,HK.03690,long,80.65,80.6,1500,600,stock,shadow,1
2026-09-04,HK.00100,long,389.2,385.8,620,2108,stock,shadow,1
2026-09-04,HK.06869,short,162.0,161.3,1000,1000,stock,shadow,1
2026-09-07,HK.00100,long,388.4,381.0,240,1536,stock,shadow,1
2026-09-07,HK.03308,long,1108.0,1098.0,150,1500,stock,shadow,1
2026-09-07,HK.01888,long,47.2,47.0,4000,800,stock,shadow,1
2026-09-07,HK.03308,long,1127.0,1118.0,150,1350,stock,shadow,1
2026-09-07,HK.00068,long,12.16,11.91,7000,1820,stock,shadow,1
2026-09-09,HK.02899,long,37.44,37.30,2000,120,stock,shadow,1
2026-09-10,HK.01888,long,49.94,50.0,4000,2000,stock,shadow,1
2026-09-11,HK.01024,long,31.12,31.30,4000,880,stock,shadow,1
